id,case_title,case_type,case_number,year,division,court_name,pdf_url,translation_url,filename,upload_date,scraped_at
SC_HCD_0001,First Appeal 399/2011,First Appeal,399/2011,2011,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/419672_FIRST_APPEAL_399_OF_2011_ALLOWED.pdf,https://supremecourt.gov.bd/translation/process.php?file=419672_FIRST_APPEAL_399_OF_2011_ALLOWED.pdf,419672_FIRST_APPEAL_399_OF_2011_ALLOWED.pdf,,2026-08-22T14:57:43.379218
SC_HCD_0002,Criminal Revision (TN) 4407/2022,Criminal Revision (TN),4407/2022,2022,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1_CriminalRevisionNo.4407of2022.pdf,https://supremecourt.gov.bd/translation/process.php?file=1_CriminalRevisionNo.4407of2022.pdf,1_CriminalRevisionNo.4407of2022.pdf,,2026-08-22T14:57:43.379322
SC_HCD_0003,Civil Revision 2253/2012,Civil Revision,2253/2012,2012,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/506173_CivilRevision_2253of2012.pdf,https://supremecourt.gov.bd/translation/process.php?file=506173_CivilRevision_2253of2012.pdf,506173_CivilRevision_2253of2012.pdf,,2026-08-22T14:57:43.379391
SC_HCD_0004,Civil Revision 2712/2001,Civil Revision,2712/2001,2001,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/58292_CivilRevision_2712of2001.pdf,https://supremecourt.gov.bd/translation/process.php?file=58292_CivilRevision_2712of2001.pdf,58292_CivilRevision_2712of2001.pdf,,2026-08-22T14:57:43.379444
SC_HCD_0005,Civil Revision 2968/2014,Civil Revision,2968/2014,2014,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/807021_CivilRevision_2968of2014.pdf,https://supremecourt.gov.bd/translation/process.php?file=807021_CivilRevision_2968of2014.pdf,807021_CivilRevision_2968of2014.pdf,,2026-08-22T14:57:43.379498
SC_HCD_0006,Civil Revision 4125/2014,Civil Revision,4125/2014,2014,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/864738_CivilRevision_4125of2014.pdf,https://supremecourt.gov.bd/translation/process.php?file=864738_CivilRevision_4125of2014.pdf,864738_CivilRevision_4125of2014.pdf,,2026-08-22T14:57:43.379548
SC_HCD_0007,Civil Revision 118/2023,Civil Revision,118/2023,2023,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2304608_CivilRevision_118of2023.pdf,https://supremecourt.gov.bd/translation/process.php?file=2304608_CivilRevision_118of2023.pdf,2304608_CivilRevision_118of2023.pdf,,2026-08-22T14:57:43.379606
SC_HCD_0008,Civil Revision 2867/2023,Civil Revision,2867/2023,2023,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3090415_CivilRevision_2867of2023.pdf,https://supremecourt.gov.bd/translation/process.php?file=3090415_CivilRevision_2867of2023.pdf,3090415_CivilRevision_2867of2023.pdf,,2026-08-22T14:57:43.379682
SC_HCD_0009,Civil Revision 3025/2013,Civil Revision,3025/2013,2013,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/668962_CivilRevision_3025of2013.pdf,https://supremecourt.gov.bd/translation/process.php?file=668962_CivilRevision_3025of2013.pdf,668962_CivilRevision_3025of2013.pdf,,2026-08-22T14:57:43.379737
SC_HCD_0010,Civil Revision 3500/2024,Civil Revision,3500/2024,2024,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3013184_CivilRevision_3500of2024.pdf,https://supremecourt.gov.bd/translation/process.php?file=3013184_CivilRevision_3500of2024.pdf,3013184_CivilRevision_3500of2024.pdf,,2026-08-22T14:57:43.379787
SC_HCD_0011,Civil Revision 3196/2024,Civil Revision,3196/2024,2024,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3113956_CivilRevision_3196of2024.pdf,https://supremecourt.gov.bd/translation/process.php?file=3113956_CivilRevision_3196of2024.pdf,3113956_CivilRevision_3196of2024.pdf,,2026-08-22T14:57:43.379835
SC_HCD_0012,Civil Revision 1042/2023,Civil Revision,1042/2023,2023,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2540273_CivilRevision_1042of2023.pdf,https://supremecourt.gov.bd/translation/process.php?file=2540273_CivilRevision_1042of2023.pdf,2540273_CivilRevision_1042of2023.pdf,,2026-08-22T14:57:43.379883
SC_HCD_0013,Civil Revision 928/2018,Civil Revision,928/2018,2018,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1493870_CivilRevision_928of2018.pdf,https://supremecourt.gov.bd/translation/process.php?file=1493870_CivilRevision_928of2018.pdf,1493870_CivilRevision_928of2018.pdf,,2026-08-22T14:57:43.379930
SC_HCD_0014,Civil Revision 940/2020,Civil Revision,940/2020,2020,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1909139_CivilRevision_940of2020.pdf,https://supremecourt.gov.bd/translation/process.php?file=1909139_CivilRevision_940of2020.pdf,1909139_CivilRevision_940of2020.pdf,,2026-08-22T14:57:43.379978
SC_HCD_0015,Civil Revision 3058/2015,Civil Revision,3058/2015,2015,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/1223759_CivilRevision_3058of2015.pdf,https://supremecourt.gov.bd/translation/process.php?file=1223759_CivilRevision_3058of2015.pdf,1223759_CivilRevision_3058of2015.pdf,,2026-08-22T14:57:43.380029
SC_HCD_0016,Civil Revision 1803/2025,Civil Revision,1803/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3623323_CivilRevision_1803of2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3623323_CivilRevision_1803of2025.pdf,3623323_CivilRevision_1803of2025.pdf,,2026-08-22T14:57:43.380075
SC_HCD_0017,Company Matter 1965/2025,Company Matter,1965/2025,2025,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3377775_CopanyMatterNo.1965of2025.pdf,https://supremecourt.gov.bd/translation/process.php?file=3377775_CopanyMatterNo.1965of2025.pdf,3377775_CopanyMatterNo.1965of2025.pdf,,2026-08-22T14:57:43.380126
SC_HCD_0018,Civil Revision 1561/1998,Civil Revision,1561/1998,1998,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/59875_CivilRevision_1561of1998.pdf,https://supremecourt.gov.bd/translation/process.php?file=59875_CivilRevision_1561of1998.pdf,59875_CivilRevision_1561of1998.pdf,,2026-08-22T14:57:43.380172
SC_HCD_0019,Civil Revision 252/2022,Civil Revision,252/2022,2022,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2171389_CivilRevision_252of2022.pdf,https://supremecourt.gov.bd/translation/process.php?file=2171389_CivilRevision_252of2022.pdf,2171389_CivilRevision_252of2022.pdf,,2026-08-22T14:57:43.380218
SC_HCD_0020,Civil Revision 3513/2023,Civil Revision,3513/2023,2023,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/2510657_Civil_Revision_3513of2023.pdf,https://supremecourt.gov.bd/translation/process.php?file=2510657_Civil_Revision_3513of2023.pdf,2510657_Civil_Revision_3513of2023.pdf,,2026-08-22T14:57:43.380265
SC_HCD_0021,Civil Revision 5422/2023,Civil Revision,5422/2023,2023,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/3186292_CivilRevision_5422of2023.pdf,https://supremecourt.gov.bd/translation/process.php?file=3186292_CivilRevision_5422of2023.pdf,3186292_CivilRevision_5422of2023.pdf,,2026-08-22T14:57:43.380311
SC_HCD_0022,Civil Revision 2051/2015,Civil Revision,2051/2015,2015,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/874592_CivilRevision_2051of2015.pdf,https://supremecourt.gov.bd/translation/process.php?file=874592_CivilRevision_2051of2015.pdf,874592_CivilRevision_2051of2015.pdf,,2026-08-22T14:57:43.380357
SC_HCD_0023,Civil Revision 986/2015,Civil Revision,986/2015,2015,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/844801_CivilRevision_986of2015.pdf,https://supremecourt.gov.bd/translation/process.php?file=844801_CivilRevision_986of2015.pdf,844801_CivilRevision_986of2015.pdf,,2026-08-22T14:57:43.380402
SC_HCD_0024,Civil Revision 3390/2010,Civil Revision,3390/2010,2010,High Court Division,Supreme Court of Bangladesh,https://supremecourt.gov.bd/resources/documents/142517_CivilRevision_3390of2010.pdf,https://supremecourt.gov.bd/translation/process.php?file=142517_CivilRevision_3390of2010.pdf,142517_CivilRevision_3390of2010.pdf,,2026-08-22T14:57:43.380447
